participant_id,participant_group,round_index,click_time,click_x,click_y,click_quadrant,was_target,target_quadrant
18,01,0,2.753,784.00,580.00,3,1,3
18,01,0,4.095,580.00,915.00,3,1,3
18,01,0,4.845,778.00,751.00,3,1,3
18,01,0,5.628,448.00,840.00,3,1,3
18,01,0,7.129,395.00,940.00,3,1,3
18,01,0,8.221,1341.00,1023.00,4,1,4
18,01,0,9.229,1653.00,265.00,2,1,2
18,01,1,1.618,670.00,843.00,3,1,3
18,01,1,2.227,772.00,750.00,3,1,3
18,01,1,2.718,751.00,683.00,3,1,3
18,01,1,3.385,779.00,688.00,3,1,3
18,01,1,4.044,699.00,577.00,3,1,3
18,01,1,4.869,860.00,598.00,3,1,3
18,01,1,5.585,936.00,499.00,1,1,1
18,01,1,6.152,864.00,456.00,1,1,1
18,01,1,7.027,743.00,412.00,1,1,1
18,01,1,7.877,443.00,438.00,1,1,1
18,01,1,8.594,407.00,406.00,1,1,1
18,01,1,9.644,370.00,318.00,1,0,0
18,01,1,10.228,342.00,325.00,1,0,0
18,01,1,10.562,355.00,329.00,1,1,1
18,01,1,11.211,435.00,257.00,1,1,1
18,01,1,11.686,382.00,242.00,1,1,1
18,01,1,12.278,473.00,186.00,1,1,1
18,01,1,12.762,504.00,246.00,1,1,1
18,01,1,13.287,523.00,182.00,1,1,1
18,01,1,13.670,568.00,130.00,1,1,1
18,01,1,14.329,672.00,97.00,1,1,1
18,01,1,14.820,691.00,140.00,1,1,1
18,01,1,15.354,675.00,239.00,1,1,1
18,01,1,16.037,625.00,305.00,1,1,1
18,01,1,16.670,737.00,310.00,1,1,1
18,01,1,17.312,828.00,216.00,1,1,1
18,01,1,18.129,978.00,455.00,2,1,2
18,01,1,18.754,1003.00,742.00,4,0,0
18,01,1,19.429,919.00,832.00,3,1,3
18,01,1,20.021,1002.00,760.00,4,1,4
18,01,1,20.938,766.00,925.00,3,0,0
18,01,1,21.396,791.00,926.00,3,1,3
18,01,1,22.047,810.00,989.00,3,1,3
18,01,1,22.672,779.00,884.00,3,1,3
18,01,1,23.313,522.00,985.00,3,1,3
18,01,1,24.038,499.00,892.00,3,1,3
18,01,1,25.180,1513.00,1002.00,4,1,4
18,01,1,25.714,1409.00,863.00,4,1,4
18,01,1,26.147,1376.00,777.00,4,1,4
18,01,1,26.555,1297.00,819.00,4,1,4
18,01,1,27.005,1306.00,707.00,4,1,4
18,01,1,27.647,1384.00,570.00,4,1,4
18,01,1,28.322,1448.00,659.00,4,0,0
18,01,1,28.814,1425.00,645.00,4,1,4
18,01,1,29.597,1515.00,728.00,4,1,4
18,01,2,1.474,1092.00,656.00,4,1,4
18,01,2,1.841,1088.00,614.00,4,1,4
18,01,2,2.199,1080.00,576.00,4,1,4
18,01,2,2.991,1185.00,519.00,2,1,2
18,01,2,3.674,1196.00,477.00,2,1,2
18,01,2,4.108,1224.00,538.00,2,1,4
18,01,2,4.683,1285.00,475.00,2,0,0
18,01,2,4.992,1277.00,490.00,2,1,2
