participant_id,participant_group,round_index,click_time,click_x,click_y,click_quadrant,was_target,target_quadrant
3,2,0,2.929,474,270,1,1,1
3,2,0,3.867,418,366,1,1,1
3,2,0,4.811,607,339,1,1,1
3,2,0,5.672,797,189,1,1,1
3,2,0,6.867,532,776,3,1,3
3,2,0,7.846,793,1035,3,1,3
3,2,0,8.915,1363,460,2,1,2
3,2,0,9.901,1679,708,4,1,4
3,2,1,1.785,771,113,1,1,1
3,2,1,2.167,828,105,1,0,0
3,2,1,2.486,817,123,1,1,1
3,2,1,3.132,799,182,1,1,1
3,2,1,3.563,912,180,1,1,1
3,2,1,4.438,892,28,1,1,1
3,2,1,5,1040,182,2,1,2
3,2,1,5.569,958,267,1,1,1
3,2,1,6.167,1095,264,2,1,2
3,2,1,6.722,1061,360,2,1,2
3,2,1,7.514,840,424,1,1,1
3,2,1,8.007,804,348,1,1,1
3,2,1,8.694,779,306,1,0,0
3,2,1,9,793,310,1,1,1
3,2,1,9.528,701,281,1,1,1
3,2,1,10.368,586,281,1,1,1
3,2,1,10.847,568,226,1,1,1
3,2,1,11.465,621,138,1,1,1
3,2,1,12.097,631,55,1,1,1
3,2,1,12.549,519,86,1,1,1
3,2,1,12.951,483,142,1,1,1
3,2,1,13.465,473,196,1,1,1
3,2,1,13.875,440,257,1,1,1
3,2,1,14.618,320,262,1,0,0
3,2,1,14.896,338,253,1,1,1
3,2,1,15.361,283,306,1,0,0
3,2,1,15.737,271,321,1,1,1
3,2,1,16.41,204,367,1,1,1
3,2,1,16.986,146,355,1,1,1
3,2,1,17.583,106,536,1,0,0
3,2,1,18.035,109,525,1,1,1
3,2,1,18.687,199,590,3,1,3
3,2,1,18.937,228,574,3,1,3
3,2,1,19.625,267,471,1,1,1
3,2,1,20.062,311,524,1,0,0
3,2,1,20.319,320,521,1,1,1
3,2,1,20.708,361,491,1,0,0
3,2,1,21.007,360,477,1,1,1
3,2,1,21.611,368,413,1,0,0
3,2,1,21.965,372,402,1,1,1
3,2,1,22.507,494,491,1,1,1
3,2,1,23.028,540,419,1,1,1
3,2,1,23.667,567,509,1,1,1
3,2,1,24.166,575,574,3,1,3
3,2,1,24.68,546,635,3,1,3
3,2,1,25.167,536,681,3,1,3
3,2,1,25.667,484,630,3,1,3
3,2,1,26.062,459,588,3,0,0
3,2,1,26.465,458,580,3,1,3
3,2,1,27.146,452,712,3,1,3
3,2,1,27.59,409,685,3,1,3
3,2,1,28.312,376,782,3,1,3
3,2,1,29.736,416,863,3,1,3
3,2,2,1.239,512,129,1,1,1
3,2,2,1.704,495,283,1,1,1
3,2,2,2.44,493,349,1,0,0
3,2,2,2.725,514,322,1,1,1
3,2,2,3.19,472,371,1,1,1
3,2,2,4.003,631,456,1,1,1
3,2,2,4.461,674,516,1,1,1
3,2,2,5.19,459,550,3,1,3
3,2,2,5.641,432,590,3,1,3
3,2,2,6.329,489,621,3,1,3
3,2,2,6.773,538,647,3,1,3
3,2,2,7.551,447,717,3,1,3
3,2,2,8.607,647,781,3,1,3
3,2,2,9.259,711,876,3,1,3
3,2,2,9.912,692,1009,3,1,3
3,2,2,10.468,735,1036,3,1,3
3,2,2,11.537,806,655,3,1,3
3,2,2,11.836,836,637,3,1,3
3,2,2,12.238,885,638,3,0,0
3,2,2,12.502,901,638,3,1,3
3,2,2,13.149,917,569,3,1,3
3,2,2,13.975,945,696,3,1,3
3,2,2,14.565,936,765,3,1,3
3,2,2,15.183,1015,741,4,1,4
3,2,2,15.801,1013,639,4,1,4
3,2,2,16.412,1061,576,4,1,4
3,2,2,16.732,1108,561,4,1,4
3,2,2,17.544,1211,477,2,1,2
3,2,2,17.85,1240,431,2,1,2
3,2,2,18.155,1278,431,2,1,2
3,2,2,18.759,1332,486,2,1,2
3,2,2,19.141,1390,489,2,1,2
3,2,2,19.78,1453,479,2,1,2
3,2,2,20.266,1409,406,2,1,2
3,2,2,20.884,1562,374,2,1,2
3,2,2,21.294,1575,311,2,1,2
3,2,2,21.822,1465,270,2,1,2
3,2,2,22.107,1498,243,2,1,2
3,2,2,22.488,1466,227,2,1,2
3,2,2,22.836,1416,218,2,1,2
3,2,2,23.058,1420,185,2,1,2
3,2,2,23.419,1387,214,2,1,2
3,2,2,24.12,1466,107,2,1,2
3,2,2,24.801,1342,48,2,1,2
3,2,2,25.405,1292,127,2,1,2
3,2,2,26.433,1111,39,2,1,2
3,2,2,26.732,1113,73,2,1,2
3,2,2,27.468,1094,156,2,0,0
3,2,2,27.856,1105,149,2,1,2
3,2,2,28.134,1082,126,2,1,2
3,2,2,28.655,1053,216,2,1,2
3,2,2,29.315,951,274,1,1,1
3,2,2,29.822,921,323,1,1,1
3,2,3,1.19,901,343,1,1,1
3,2,3,1.641,800,440,1,1,1
3,2,3,2.557,871,471,1,1,1
3,2,3,2.8,861,509,1,1,1
3,2,3,3.127,906,487,1,1,1
3,2,3,4.28,738,287,1,1,1
3,2,3,4.62,748,338,1,1,1
3,2,3,5.8,767,130,1,1,1
3,2,3,6.169,814,150,1,1,1
3,2,3,6.71,710,140,1,0,0
3,2,3,7.085,707,129,1,1,1
3,2,3,7.794,636,214,1,1,1
3,2,3,8.328,559,80,1,1,1
3,2,3,8.669,616,45,1,1,1
3,2,3,9.335,466,162,1,1,1
3,2,3,9.939,535,324,1,1,1
3,2,3,10.439,561,399,1,0,0
3,2,3,10.842,582,387,1,1,1
3,2,3,11.363,518,505,1,1,1
3,2,3,11.745,511,560,3,1,3
3,2,3,12.106,557,546,3,1,3
3,2,3,12.446,555,599,3,1,3
3,2,3,12.814,603,570,3,0,0
3,2,3,13.134,626,579,3,1,3
3,2,3,13.634,657,662,3,0,0
3,2,3,14.231,762,710,3,1,3
3,2,3,15.134,645,643,3,1,3
3,2,3,16.016,787,845,3,1,3
3,2,3,16.648,854,856,3,1,3
3,2,3,17.217,960,864,4,1,4
3,2,3,17.849,914,938,3,1,3
3,2,3,18.175,917,978,3,1,3
3,2,3,18.745,893,1032,3,1,3
3,2,3,19.321,849,1007,3,1,3
3,2,3,19.592,844,1051,3,1,3
3,2,3,20.224,995,970,4,0,0
3,2,3,21.148,1009,968,4,1,4
3,2,3,21.752,1069,922,4,1,4
