16,01,0,1.739,379.00,929.00,3,1,3
16,01,0,2.773,423.00,858.00,3,0,0
16,01,0,3.207,453.00,838.00,3,1,3
16,01,0,3.965,579.00,910.00,3,1,3
16,01,0,4.865,728.00,801.00,3,0,0
16,01,0,5.449,781.00,751.00,3,1,3
16,01,0,6.599,1329.00,1015.00,4,1,4
16,01,0,8.274,1666.00,254.00,2,1,2
16,01,0,9.216,768.00,575.00,3,1,3
16,01,1,2.204,563.00,844.00,3,1,3
16,01,1,3.063,501.00,908.00,3,0,0
16,01,1,3.629,488.00,898.00,3,1,3
16,01,1,4.363,520.00,989.00,3,1,3
16,01,1,5.155,336.00,1054.00,3,1,3
16,01,1,5.771,235.00,1044.00,3,1,3
16,01,1,6.680,183.00,922.00,3,1,3
16,01,1,7.288,108.00,922.00,3,1,3
16,01,1,7.889,237.00,886.00,3,1,3
16,01,1,8.497,349.00,967.00,3,1,3
16,01,1,9.030,315.00,803.00,3,0,0
16,01,1,9.380,311.00,827.00,3,1,3
16,01,1,10.089,417.00,828.00,3,1,3
16,01,1,11.014,446.00,777.00,3,1,3
16,01,1,11.639,523.00,792.00,3,1,3
16,01,1,12.381,440.00,720.00,3,1,3
16,01,1,13.131,176.00,752.00,3,1,3
16,01,1,14.056,108.00,638.00,3,1,3
16,01,1,14.681,150.00,580.00,3,1,3
16,01,1,15.540,354.00,604.00,3,1,3
16,01,1,16.265,492.00,606.00,3,1,3
16,01,1,16.806,488.00,658.00,3,1,3
16,01,1,17.415,582.00,703.00,3,1,3
16,01,1,18.165,599.00,621.00,3,1,3
16,01,1,19.165,691.00,576.00,3,1,3
16,01,1,19.982,294.00,511.00,1,1,1
16,01,1,20.682,307.00,439.00,1,1,1
16,01,1,21.457,142.00,454.00,1,1,1
16,01,1,22.057,253.00,342.00,1,1,1
16,01,1,22.541,351.00,327.00,1,1,1
16,01,1,23.274,415.00,423.00,1,0,0
16,01,1,23.999,402.00,413.00,1,1,1
16,01,1,24.833,446.00,446.00,1,1,1
16,01,1,25.599,432.00,260.00,1,1,1
16,01,1,26.183,377.00,235.00,1,1,1
16,01,1,26.941,166.00,150.00,1,0,0
16,01,1,27.366,190.00,134.00,1,1,1
16,01,1,27.800,227.00,126.00,1,1,1
16,01,1,28.525,89.00,80.00,1,1,1
16,01,1,29.283,317.00,64.00,1,1,1
16,01,1,29.867,446.00,116.00,1,1,1
16,01,2,1.599,876.00,912.00,3,1,3
16,01,2,2.166,909.00,854.00,3,1,3
16,01,2,2.850,865.00,949.00,3,1,3
16,01,2,3.383,807.00,1000.00,3,1,3
16,01,2,4.283,618.00,1015.00,3,1,3
16,01,2,5.059,489.00,893.00,3,1,3
16,01,2,5.550,444.00,946.00,3,1,3
16,01,2,6.217,227.00,915.00,3,1,3
16,01,2,6.867,115.00,1017.00,3,1,3
16,01,2,7.350,66.00,1003.00,3,1,3
16,01,2,8.451,144.00,840.00,3,1,3
16,01,2,9.009,185.00,783.00,3,0,0
16,01,2,9.826,328.00,651.00,3,1,3
16,01,2,10.309,251.00,665.00,3,1,3
16,01,2,10.993,467.00,701.00,3,0,0
16,01,2,11.884,571.00,557.00,3,1,3
16,01,2,12.385,664.00,547.00,3,1,3
16,01,2,12.793,717.00,601.00,3,1,3
16,01,2,13.568,771.00,596.00,3,1,3
16,01,2,14.210,830.00,697.00,3,1,3
16,01,2,14.585,871.00,727.00,3,0,0
16,01,2,15.118,872.00,756.00,3,1,3
16,01,2,15.627,811.00,820.00,3,1,3
16,01,2,16.377,758.00,851.00,3,1,3
16,01,2,17.269,1011.00,906.00,4,1,4
16,01,2,17.702,1053.00,954.00,4,1,4
16,01,2,18.285,1085.00,868.00,4,0,0
16,01,2,18.869,1096.00,895.00,4,1,4
16,01,2,19.486,1220.00,889.00,4,1,4
16,01,2,20.161,1147.00,979.00,4,1,4
16,01,2,20.628,1207.00,1005.00,4,1,4
16,01,2,21.136,1270.00,989.00,4,1,4
16,01,2,21.778,1198.00,1036.00,4,1,4
16,01,2,22.661,1370.00,967.00,4,1,4
16,01,2,23.311,1434.00,1044.00,4,1,4
16,01,2,24.095,1533.00,925.00,4,1,4
16,01,2,24.770,1630.00,995.00,4,1,4
16,01,2,25.328,1758.00,985.00,4,1,4
16,01,2,26.128,1752.00,956.00,4,1,4
16,01,2,27.020,1543.00,877.00,4,1,4
16,01,2,27.504,1638.00,845.00,4,1,4
16,01,2,28.212,1787.00,865.00,4,1,4
16,01,2,29.187,1486.00,820.00,4,1,4
16,01,2,29.696,1439.00,856.00,4,1,4
16,01,3,1.497,1321.00,717.00,4,1,4
16,01,3,1.956,1298.00,735.00,4,1,4
16,01,3,2.539,1312.00,642.00,4,1,4
16,01,3,3.064,1350.00,544.00,4,0,0
16,01,3,3.723,1152.00,655.00,4,1,4
16,01,3,4.264,1084.00,601.00,4,1,4
16,01,3,4.789,1042.00,630.00,4,1,4
16,01,3,5.156,1016.00,665.00,4,1,4
16,01,3,5.631,1003.00,593.00,4,1,4
16,01,3,6.390,974.00,714.00,4,1,4
16,01,3,7.132,927.00,763.00,3,1,3
16,01,3,7.940,937.00,820.00,3,1,3
16,01,3,8.557,1068.00,890.00,4,1,4
16,01,3,9.082,1170.00,967.00,4,1,4
16,01,3,9.757,1113.00,1019.00,4,1,4
16,01,3,10.249,1263.00,1028.00,4,1,4
16,01,3,10.874,1398.00,933.00,4,1,4
16,01,3,11.499,1374.00,884.00,4,1,4
16,01,3,12.016,1242.00,897.00,4,1,4
16,01,3,12.499,1167.00,866.00,4,1,4
