participant_id,participant_group,round_index,click_time,click_x,click_y,click_quadrant,was_target,target_quadrant
9,01,3,10.755,297.00,585.00,3,1,3
9,01,3,12.139,440.00,566.00,3,1,3
9,01,3,12.989,516.00,573.00,3,1,3
9,01,3,13.447,519.00,507.00,1,1,1
9,01,3,14.181,561.00,554.00,3,1,3
9,01,3,14.664,544.00,606.00,3,1,3
9,01,3,15.289,624.00,575.00,3,1,3
9,01,3,15.906,644.00,642.00,3,1,3
9,01,3,16.773,745.00,725.00,3,1,3
9,01,3,17.706,799.00,853.00,3,1,3
9,01,3,18.123,844.00,851.00,3,1,3
9,01,3,19.056,928.00,926.00,3,1,3
9,01,3,19.548,909.00,977.00,3,1,3
9,01,3,20.032,910.00,1026.00,3,1,3
9,01,3,20.557,1022.00,958.00,4,1,4
9,01,3,20.998,1084.00,928.00,4,1,4
9,01,3,21.399,1105.00,936.00,4,1,4
9,01,3,22.107,990.00,748.00,4,1,4
9,01,3,22.707,858.00,497.00,1,1,1
9,01,3,23.082,855.00,480.00,1,1,1
9,01,3,23.624,909.00,490.00,1,0,0
9,01,3,24.116,899.00,335.00,1,1,1
9,01,3,24.682,962.00,248.00,2,1,2
9,01,3,25.133,955.00,207.00,1,0,0
9,01,3,25.674,997.00,144.00,2,1,2
9,01,3,26.258,1062.00,100.00,2,0,0
9,01,3,26.733,1039.00,47.00,2,0,0
9,01,3,27.299,1058.00,56.00,2,1,2
9,01,3,27.758,1097.00,46.00,2,0,0
9,01,3,28.100,1119.00,34.00,2,1,2
9,01,3,29.091,1155.00,70.00,2,0,0
9,01,3,29.717,1168.00,76.00,2,1,2
