participant_id,participant_group,round_index,click_time,click_x,click_y,click_quadrant,was_target,target_quadrant
17,01,0,2.266,516.00,328.00,1,1,1
17,01,0,3.383,454.00,853.00,3,1,3
17,01,0,4.250,384.00,929.00,3,1,3
17,01,0,5.876,581.00,908.00,3,1,3
17,01,0,6.634,780.00,760.00,3,1,3
17,01,0,8.000,773.00,578.00,3,1,3
17,01,0,9.067,1647.00,269.00,2,1,2
17,01,1,1.903,88.00,71.00,1,1,1
17,01,1,2.536,183.00,141.00,1,1,1
17,01,1,2.995,219.00,128.00,1,1,1
17,01,1,3.795,314.00,66.00,1,1,1
17,01,1,4.587,481.00,37.00,1,1,1
17,01,1,5.003,547.00,65.00,1,1,1
17,01,1,5.837,562.00,127.00,1,1,1
17,01,1,6.262,545.00,179.00,1,0,0
17,01,1,7.037,513.00,250.00,1,1,1
17,01,1,7.654,534.00,176.00,1,1,1
17,01,1,8.087,472.00,190.00,1,1,1
17,01,1,8.879,440.00,122.00,1,1,1
17,01,1,9.804,391.00,237.00,1,1,1
17,01,1,10.321,443.00,264.00,1,1,1
17,01,1,11.338,363.00,335.00,1,1,1
17,01,1,12.163,260.00,346.00,1,1,1
17,01,1,12.821,302.00,425.00,1,1,1
17,01,1,13.555,126.00,453.00,1,0,0
17,01,1,14.313,147.00,447.00,1,1,1
17,01,1,14.997,152.00,579.00,3,1,3
17,01,1,15.772,110.00,653.00,3,1,3
17,01,1,16.447,396.00,410.00,1,1,1
17,01,1,17.064,448.00,443.00,1,1,1
17,01,1,17.764,306.00,513.00,1,1,1
17,01,1,18.447,354.00,599.00,3,1,3
17,01,1,18.972,487.00,597.00,3,1,3
17,01,1,19.297,496.00,667.00,3,1,3
17,01,1,19.681,454.00,714.00,3,1,3
17,01,1,19.997,450.00,763.00,3,1,3
17,01,1,20.548,399.00,827.00,3,1,3
17,01,1,20.947,305.00,820.00,3,1,3
17,01,1,21.914,227.00,892.00,3,1,3
17,01,1,22.589,191.00,940.00,3,1,3
17,01,1,23.023,131.00,927.00,3,0,0
17,01,1,23.932,108.00,934.00,3,1,3
17,01,1,25.006,175.00,745.00,3,1,3
17,01,1,26.432,606.00,619.00,3,1,3
17,01,1,26.932,596.00,712.00,3,1,3
17,01,1,27.432,531.00,787.00,3,1,3
17,01,1,27.882,566.00,852.00,3,1,3
17,01,1,29.040,491.00,889.00,3,1,3
17,01,1,29.674,516.00,991.00,3,1,3
17,01,2,2.068,1216.00,541.00,4,1,4
17,01,2,2.576,1171.00,524.00,2,1,2
17,01,2,3.235,1189.00,480.00,2,1,2
17,01,2,3.760,1276.00,490.00,2,1,2
17,01,2,4.418,1307.00,565.00,4,1,4
17,01,2,4.818,1326.00,617.00,4,1,4
17,01,2,5.594,1252.00,707.00,4,1,4
17,01,2,6.060,1264.00,807.00,4,1,4
17,01,2,6.702,1355.00,796.00,4,1,4
17,01,2,7.010,1385.00,783.00,4,1,4
17,01,2,7.369,1386.00,764.00,4,1,4
17,01,2,8.036,1453.00,796.00,4,1,4
17,01,2,8.511,1481.00,813.00,4,1,4
17,01,2,8.969,1435.00,849.00,4,1,4
17,01,2,10.061,1082.00,733.00,4,0,0
17,01,2,10.494,1077.00,727.00,4,0,0
17,01,2,10.869,1041.00,696.00,4,1,4
17,01,2,11.253,1081.00,702.00,4,1,4
17,01,2,11.936,1088.00,644.00,4,1,4
17,01,2,12.370,1090.00,608.00,4,1,4
17,01,2,12.945,1073.00,580.00,4,1,4
17,01,2,14.062,1243.00,406.00,2,1,2
17,01,2,14.328,1255.00,364.00,2,1,2
17,01,2,14.862,1306.00,361.00,2,1,2
17,01,2,15.962,888.00,186.00,1,1,1
17,01,2,16.612,907.00,248.00,1,1,1
17,01,2,17.287,911.00,321.00,1,1,1
17,01,2,17.804,1002.00,292.00,2,1,2
17,01,2,18.587,1004.00,187.00,2,1,2
17,01,2,19.221,1049.00,133.00,2,1,2
17,01,2,19.571,1091.00,117.00,2,1,2
17,01,2,20.479,893.00,112.00,1,1,1
