participant_id,participant_group,round_index,click_time,click_x,click_y,click_quadrant,was_target,target_quadrant
7,1,3,4.635,676.00,689.00,3,1,3
7,1,3,5.102,731.00,695.00,3,1,3
7,1,3,5.552,775.00,701.00,3,0,0
7,1,3,5.969,779.00,720.00,3,1,3
7,1,3,6.694,826.00,588.00,3,1,3
7,1,3,7.069,826.00,557.00,3,1,3
7,1,3,7.844,880.00,571.00,3,1,3
7,1,3,8.202,886.00,540.00,3,1,1
7,1,3,8.544,907.00,458.00,1,0,0
7,1,3,9.044,902.00,480.00,1,1,1
7,1,3,9.686,835.00,406.00,1,1,1
7,1,3,10.061,778.00,397.00,1,1,1
7,1,3,10.861,956.00,409.00,1,1,1
7,1,3,11.553,1006.00,523.00,2,0,0
7,1,3,12.103,994.00,511.00,2,1,2
7,1,3,12.753,1001.00,604.00,4,1,4
7,1,3,13.120,1040.00,631.00,4,1,4
7,1,3,13.670,1081.00,605.00,4,1,4
7,1,3,14.028,1028.00,639.00,4,0,0
7,1,3,14.445,1018.00,668.00,4,1,4
7,1,3,15.012,914.00,607.00,3,1,3
7,1,3,15.754,973.00,716.00,4,1,4
7,1,3,16.312,934.00,761.00,3,1,3
7,1,3,16.695,935.00,819.00,3,1,3
7,1,3,17.370,1081.00,895.00,4,0,0
7,1,3,17.938,1067.00,890.00,4,1,4
7,1,3,18.729,1175.00,874.00,4,1,4
7,1,3,19.213,1245.00,898.00,4,1,4
7,1,3,19.771,1390.00,891.00,4,1,4
7,1,3,20.354,1411.00,943.00,4,1,4
7,1,3,21.179,1490.00,993.00,4,1,4
7,1,3,21.538,1528.00,978.00,4,1,4
7,1,3,22.713,1279.00,731.00,4,1,4
7,1,3,23.238,1320.00,712.00,4,1,4
7,1,3,23.580,1293.00,651.00,4,0,0
7,1,3,24.947,1199.00,85.00,2,1,2
7,1,3,25.438,1100.00,133.00,2,0,0
7,1,3,26.589,606.00,123.00,1,1,1
7,1,3,27.014,554.00,121.00,1,0,0
7,1,3,27.355,548.00,104.00,1,1,1
7,1,3,28.206,532.00,154.00,1,1,1
7,1,3,28.564,489.00,120.00,1,1,1
7,1,3,28.964,505.00,35.00,1,1,1
7,1,3,29.639,405.00,106.00,1,1,1
